intent;mensaje;enlaces;frases
agradecimiento;¿Puedes explicarme qué es un aluvión?;"['https://www.ssalud.gob.pe';'https://www.senamhi.gob.pe';'https://www.peru.gob.pe';'https://www.defensacivil.gob.pe']";"['cómo participar en un simulacro';'explicación de desastres naturales']"
reportar_evento;¿Qué debo hacer si se emite una alerta por lluvias fuertes?;"['https://www.digemid.minsa.gob.pe';'https://www.cenepred.gob.pe';'https://www.defensacivil.gob.pe';'https://www.cruzroja.org.pe']";"['protocolos de evacuación';'qué hacer si hay un huaico']"
despedida;¿Cuáles son las medidas de prevención frente a sismos?;"['https://www.cenepred.gob.pe';'https://www.senamhi.gob.pe']";"['qué hacer si hay un huaico';'líneas de ayuda y emergencia';'explicación de desastres naturales';'medidas ante lluvias intensas']"
ayuda;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.digemid.minsa.gob.pe';'https://www.unisdr.org';'https://www.gob.pe/indeci']";"['líneas de ayuda y emergencia';'prevención ante sismos';'cómo actuar durante una emergencia']"
plan_emergencia;Buenas tardes, ¿hay pronóstico de tormenta hoy?;"['https://www.defensacivil.gob.pe';'https://www.senamhi.gob.pe']";"['dónde acudir en caso de desastre';'medidas ante lluvias intensas']"
agradecimiento;Me gustaría saber si hay refugios disponibles cerca.;"['https://www.cenepred.gob.pe';'https://www.ssalud.gob.pe']";"['cómo participar en un simulacro';'alertas meteorológicas vigentes';'sugerencias sobre la calidad del aire']"
plan_emergencia;¿Qué tipo de lenguaje no está permitido aquí?;"['https://www.gob.pe/indeci';'https://www.minsa.gob.pe';'https://www.cruzroja.org.pe';'https://www.ssalud.gob.pe']";"['prevención ante sismos';'medidas ante lluvias intensas';'qué hacer si hay un huaico';'explicación de desastres naturales']"
calidad_del_aire;¿Dónde encuentro información sobre rutas de evacuación?;"['https://www.ssalud.gob.pe';'https://www.cenepred.gob.pe';'https://www.cruzroja.org.pe';'https://www.onu.org.pe/prevencion']";"['guía de preparación familiar';'medidas ante lluvias intensas';'cómo actuar durante una emergencia';'prevención ante sismos']"
calidad_del_aire;Hola, ¿me puedes orientar sobre qué hacer en un simulacro?;"['https://www.digemid.minsa.gob.pe';'https://www.gob.pe/indeci';'https://www.unisdr.org']";"['guía de preparación familiar';'sugerencias sobre la calidad del aire';'medidas ante lluvias intensas']"
calidad_del_aire;Indícame cómo protegerme de la mala calidad del aire.;"['https://www.unisdr.org';'https://www.senamhi.gob.pe';'https://www.defensacivil.gob.pe';'https://www.gob.pe/indeci']";"['cómo actuar durante una emergencia';'sugerencias sobre la calidad del aire']"
simulacro_fecha;Hola, gracias por la atención.;"['https://www.senamhi.gob.pe';'https://www.cenepred.gob.pe']";"['guía de preparación familiar';'sugerencias sobre la calidad del aire';'qué hacer si hay un huaico';'explicación de desastres naturales']"
